Season,Name,Team,playerid
1989,Nolan Ryan,Rangers,1011348
1993,Randy Johnson,Mariners,60
2019,Jacob deGrom,Mets,10954
1969,Denny McLain,Tigers,1008603
1997,Randy Johnson,Mariners,60
1975,Gaylord Perry,- - -,1010210
1935,Mel Harder,Indians,1005339
1992,Charles Nagy,Indians,397
1905,Rube Waddell,Athletics,1013467
1992,Greg Maddux,Cubs,104
1985,Bert Blyleven,- - -,1001098
1941,Whit Wyatt,Dodgers,1014304
1975,Jim Palmer,Orioles,1009973
1947,Hal Newhouser,Tigers,1009535
2012,Justin Verlander,Tigers,8700
2001,Mike Mussina,Yankees,837
1933,Dizzy Dean,Cardinals,1003106
1890,Charlie Getzein,Beaneaters,1004649
1885,Ed Morris,Alleghenys,1009204
1979,Tommy John,Yankees,1006515
1909,Christy Mathewson,Giants,1008235
2003,Esteban Loaiza,White Sox,1310
1960,Jim Bunning,Tigers,1001653
1967,Dean Chance,Twins,1002130
1975,Ron Reed,- - -,1010773
2013,Matt Harvey,Mets,11713
2009,Felix Hernandez,Mariners,4772
1897,Kid Nichols,Beaneaters,1009564
1936,Van Mungo,Dodgers,1009321
1922,Urban Shocker,Browns,1011918
1949,Mel Parnell,Red Sox,1010017
1964,Don Drysdale,Dodgers,1003516
1879,Pud Galvin,Bisons,1004469
1978,Jon Matlack,Rangers,1008246
1920,Stan Coveleski,Indians,1002682
1923,Dolf Luque,Reds,1007843
1898,Cy Young,Spiders,1014369
2009,Roy Halladay,Blue Jays,1303
1877,Tommy Bond,Red Caps,1001158
1965,Juan Marichal,Giants,1008106
1933,Carl Hubbell,Giants,1006123
2000,Kevin Brown,Dodgers,642
1887,Tim Keefe,Giants,1006743
1968,Sam McDowell,Indians,1008476
1993,Kevin Appier,Royals,3
1922,Red Faber,White Sox,1003889
1966,Jim Bunning,Phillies,1001653
2002,Roy Halladay,Blue Jays,1303
1919,Walter Johnson,Senators,1006511
1937,Lefty Gomez,Yankees,1004821
1879,John Ward,Grays,1013615
1964,Whitey Ford,Yankees,1004227
1962,Camilo Pascual,Twins,1010039
1959,Larry Jackson,Cardinals,1006304
1967,Jim Bunning,Phillies,1001653
1880,Jim McCormick,Blues,1008416
1990,Dwight Gooden,Mets,1004852
1996,Roger Clemens,Red Sox,815
2004,Johan Santana,Twins,755
1935,Cy Blanton,Pirates,1001055
1969,Fritz Peterson,Yankees,1010227
1907,Christy Mathewson,Giants,1008235
1911,Christy Mathewson,Giants,1008235
1976,Tom Seaver,Mets,1011708
1902,Rube Waddell,Athletics,1013467
1892,Kid Nichols,Beaneaters,1009564
1974,Nolan Ryan,Angels,1011348
1972,Don Sutton,Dodgers,1012745
1956,Herb Score,Indians,1011671
2008,Cliff Lee,Indians,1636
2019,Lance Lynn,Rangers,2520
1986,Mike Witt,Angels,1014174
1996,Kevin Brown,Marlins,642
1895,Cy Young,Spiders,1014369
1987,Teddy Higuera,Brewers,1005799
1917,Walter Johnson,Senators,1006511
2006,Johan Santana,Twins,755
1912,Ed Walsh,White Sox,1013570
1904,Christy Mathewson,Giants,1008235
1963,Juan Marichal,Giants,1008106
1997,John Smoltz,Braves,115
2015,David Price,- - -,3184
2010,Justin Verlander,Tigers,8700
1976,Bert Blyleven,- - -,1001098
2010,Felix Hernandez,Mariners,4772
1942,Mort Cooper,Cardinals,1002598
2007,Jake Peavy,Padres,1051
1890,Billy Rhines,Reds,1010880
1878,Terry Larkin,White Stockings,1007352
1884,Tim Keefe,Metropolitans,1006743
1939,Bob Feller,Indians,1003975
1951,Robin Roberts,Phillies,1011046
2008,Roy Halladay,Blue Jays,1303
1886,Jim Whitney,Cowboys,1013908
1899,Cy Young,Perfectos,1014369
1970,Jim Perry,Twins,1010213
1880,Larry Corcoran,White Stockings,1002618
1883,Larry Corcoran,White Stockings,1002618
1917,Eddie Cicotte,White Sox,1002236
2018,Justin Verlander,Astros,8700
1895,Kid Nichols,Beaneaters,1009564
1884,Mickey Welch,Gothams,1013757
1935,Dizzy Dean,Cardinals,1003106
1990,Erik Hanson,Mariners,1005333
1936,Dizzy Dean,Cardinals,1003106
1928,Lefty Grove,Athletics,1005099
1885,Hardie Henderson,Orioles,1005632
1891,Gus Weyhing,Athletics,1013820
1881,Lee Richmond,Ruby Legs,1010928
1890,Jack Stivetts,Browns,1012547
1901,Noodles Hahn,Reds,1005205
1910,Russ Ford,Highlanders,1004223
2012,Felix Hernandez,Mariners,4772
1945,Preacher Roe,Pirates,1011122
1963,Dick Ellsworth,Cubs,1003754
1920,Pete Alexander,Cubs,1000128
1934,Dizzy Dean,Cardinals,1003106
2003,Jason Schmidt,Giants,1131
1969,Mike Cuellar,Orioles,1002853
1903,Noodles Hahn,Reds,1005205
1977,Nolan Ryan,Angels,1011348
1963,Larry Jackson,Cubs,1006304
1875,Dick McBride,Athletics,1008341
1962,Don Drysdale,Dodgers,1003516
2004,Roy Oswalt,Astros,571
1954,Mike Garcia,Indians,1004505
1974,Luis Tiant,Red Sox,1013054
2004,Curt Schilling,Red Sox,73
1890,Mark Baldwin,Pirates,1000484
1929,Lefty Grove,Athletics,1005099
2019,Max Scherzer,Nationals,3137
1991,David Cone,Mets,1680
2015,Max Scherzer,Nationals,3137
1969,Bill Hands,Cubs,1005303
1895,Pink Hawley,Pirates,1005517
1948,Hal Newhouser,Tigers,1009535
2006,Brandon Webb,Diamondbacks,1692
2011,Justin Verlander,Tigers,8700
1963,Gary Peters,White Sox,1010228
1964,Bob Veale,Pirates,1013391
1965,Chris Short,Phillies,1011931
1915,Eddie Plank,Terriers,1010385
1943,Spud Chandler,Yankees,1002133
1997,Kevin Brown,Marlins,642
1918,Walter Johnson,Senators,1006511
2005,Dontrelle Willis,Marlins,1703
1884,Ed Morris,Buckeyes,1009204
1965,Jim Maloney,Reds,1008039
1977,Rick Reuschel,Cubs,1010852
2007,CC Sabathia,Indians,404
1978,J.R. Richard,Astros,1010913
1970,Bill Hands,Cubs,1005303
2000,Mike Mussina,Orioles,837
1911,Joe Wood,Red Sox,1014224
1883,Tony Mullane,Browns,1009291
1880,John Ward,Grays,1013615
2017,Max Scherzer,Nationals,3137
1985,John Tudor,Cardinals,1013215
1899,Noodles Hahn,Reds,1005205
1972,Bob Gibson,Cardinals,1004662
1893,Kid Nichols,Beaneaters,1009564
1962,Billy O'Dell,Giants,1009724
1884,Jim McCormick,- - -,1008416
1889,Matt Kilroy,Orioles,1006910
1957,Frank Sullivan,Red Sox,1012691
1900,Cy Young,Cardinals,1014369
2009,Cliff Lee,- - -,1636
1987,Nolan Ryan,Astros,1011348
1874,Al Spalding,Red Stockings,1012300
1884,Jim Whitney,Beaneaters,1013908
2004,Jason Schmidt,Giants,1131
1883,Bobby Mathews,Athletics,1008234
1908,Cy Young,Red Sox,1014369
1967,Jim Kaat,Twins,1006660
1964,Juan Marichal,Giants,1008106
1963,Jim Maloney,Reds,1008039
1879,Terry Larkin,White Stockings,1007352
1982,Steve Rogers,Expos,1011138
1966,Jim Kaat,Twins,1006660
1909,Orval Overall,Cubs,1009910
2019,Justin Verlander,Astros,8700
1950,Ewell Blackwell,Reds,1001013
1974,Steve Busby,Royals,1001745
1987,Mark Langston,Mariners,1007323
1927,Lefty Grove,Athletics,1005099
2016,Jose Fernandez,Marlins,11530
2016,Clayton Kershaw,Dodgers,2036
1944,Ken Raffensberger,Blue Jays,1010646
1894,Cy Young,Spiders,1014369
2005,Chris Carpenter,Cardinals,1292
1988,Greg Swindell,Indians,76
1978,Mike Caldwell,Brewers,1001830
1961,Jim Bunning,Tigers,1001653
1970,Gaylord Perry,Giants,1010210
1992,Kevin Brown,Rangers,642
1961,Sandy Koufax,Dodgers,1007124
1894,Amos Rusie,Giants,1011308
1935,Schoolboy Rowe,Tigers,1011259
1936,Johnny Allen,Indians,1000150
1996,Kevin Appier,Royals,3
1969,Phil Niekro,Braves,1009583
2014,Phil Hughes,Twins,7450
1989,Mark Gubicza,Royals,1005115
1988,Frank Viola,Twins,1013435
1939,Paul Derringer,Reds,1003224
2001,Greg Maddux,Braves,104
1966,Juan Marichal,Giants,1008106
1968,Fergie Jenkins,Cubs,1006388
1974,Gaylord Perry,Indians,1010210
1902,Noodles Hahn,Reds,1005205
1974,Catfish Hunter,Athletics,1006199
1977,Tom Seaver,- - -,1011708
1891,Amos Rusie,Giants,1011308
1907,Rube Waddell,Athletics,1013467
1911,Babe Adams,Pirates,1000041
1925,Pete Donohue,Reds,1003390
1973,Bill Singer,Angels,1012007
1881,George Derby,Wolverines,1003218
1898,Doc McJames,Orioles,1008576
2007,Brandon Webb,Diamondbacks,1692
2000,David Wells,Blue Jays,855
1953,Warren Spahn,Braves,1012299
2002,Roy Oswalt,Astros,571
1970,Jim Palmer,Orioles,1009973
1881,Pud Galvin,Bisons,1004469
1975,Bert Blyleven,Twins,1001098
1912,Christy Mathewson,Giants,1008235
1878,Tommy Bond,Red Caps,1001158
1983,Jack Morris,Tigers,1009211
1902,Vic Willis,Beaneaters,1014042
1960,Don Drysdale,Dodgers,1003516
2018,Chris Sale,Red Sox,10603
2013,Adam Wainwright,Cardinals,2233
1988,Mark Gubicza,Royals,1005115
1914,Dick Rudolph,Braves,1011284
1986,Fernando Valenzuela,Dodgers,1013327
1979,Ron Guidry,Yankees,1005124
1876,Tommy Bond,Dark Blues,1001158
1985,Bret Saberhagen,Royals,1011355
2010,Roy Halladay,Phillies,1303
1928,Burleigh Grimes,Pirates,1005061
1969,Bill Singer,Dodgers,1012007
1956,Early Wynn,Indians,1014309
1930,Dazzy Vance,Robins,1013342
1973,Rick Reuschel,Cubs,1010852
1972,Mickey Lolich,Tigers,1007712
1885,Mickey Welch,Giants,1013757
1991,Jose Rijo,Reds,349
2005,Pedro Martinez,Mets,200
2003,Mike Mussina,Yankees,837
1939,Bobo Newsom,- - -,1009546
2001,Matt Morris,Cardinals,1172
1982,Fernando Valenzuela,Dodgers,1013327
1964,Sandy Koufax,Dodgers,1007124
2001,Javier Vazquez,Expos,801
1956,Bob Friend,Pirates,1004355
1890,John Healy,Maumees,1005547
2008,Dan Haren,Diamondbacks,1757
2006,Roy Oswalt,Astros,571
2013,Felix Hernandez,Mariners,4772
1972,Wilbur Wood,White Sox,1014248
1904,Noodles Hahn,Reds,1005205
2003,Kevin Brown,Dodgers,642
2012,Clayton Kershaw,Dodgers,2036
2019,Charlie Morton,Rays,4676
1919,Stan Coveleski,Indians,1002682
1960,Larry Jackson,Cardinals,1006304
1966,Mike Cuellar,Astros,1002853
1952,Bobby Shantz,Athletics,1011804
2005,Roy Oswalt,Astros,571
1977,Dave Goltz,Twins,1004818
2010,Josh Johnson,Marlins,4567
1976,Frank Tanana,Angels,1012818
1962,Bob Gibson,Cardinals,1004662
1999,Mike Mussina,Orioles,837
1969,Mickey Lolich,Tigers,1007712
1906,Al Orth,Highlanders,1009857
1966,Bob Gibson,Cardinals,1004662
2016,Noah Syndergaard,Mets,11762
1926,Lefty Grove,Athletics,1005099
1996,Pat Hentgen,Blue Jays,145
1894,Kid Nichols,Beaneaters,1009564
1947,Warren Spahn,Braves,1012299
1940,Claude Passeau,Cubs,1010046
1984,Rick Sutcliffe,- - -,1012734
1969,Bob Veale,Pirates,1013391
1988,Dwight Gooden,Mets,1004852
1975,John Montefusco,Giants,1009065
2003,Javier Vazquez,Expos,801
1980,Mike Norris,Athletics,1009637
1973,Don Sutton,Dodgers,1012745
2005,Roger Clemens,Astros,815
1874,Dick McBride,Athletics,1008341
2010,Ubaldo Jimenez,Rockies,3374
1941,Dutch Leonard,Senators,1007533
1999,Shane Reynolds,Astros,574
2018,Gerrit Cole,Astros,13125
1891,Cy Young,Spiders,1014369
1979,Mike Flanagan,Orioles,1004133
1949,Howie Pollet,Cardinals,1010423
1936,Lefty Grove,Red Sox,1005099
1972,Phil Niekro,Braves,1009583
1919,Hippo Vaughn,Cubs,1013384
1936,Carl Hubbell,Giants,1006123
1888,John Clarkson,Beaneaters,1002293
1911,Walter Johnson,Senators,1006511
1943,Mort Cooper,Cardinals,1002598
1952,Warren Spahn,Braves,1012299
1888,Charlie Getzein,Wolverines,1004649
1972,Bert Blyleven,Twins,1001098
1977,Phil Niekro,Braves,1009583
1882,Pud Galvin,Bisons,1004469
1964,Larry Jackson,Cubs,1006304
1923,Eppa Rixey,Reds,1011008
1969,Gaylord Perry,Giants,1010210
1923,Urban Shocker,Browns,1011918
1957,Billy Pierce,White Sox,1010326
1974,Carl Morton,Braves,1009230
2013,Max Scherzer,Tigers,3137
2011,Dan Haren,Angels,1757
2009,Javier Vazquez,Braves,801
1925,Dolf Luque,Reds,1007843
1890,Ben Sanders,Athletics,1011413
1952,Mike Garcia,Indians,1004505
2017,Stephen Strasburg,Nationals,10131
1873,Al Spalding,Red Stockings,1012300
1949,Hal Newhouser,Tigers,1009535
1991,Greg Swindell,Indians,76
