Season,Name,Team,playerid
2016,Fernando Rodriguez,Athletics,7558
1940,Archie McKain,Tigers,1008577
1994,Danny Cox,Blue Jays,1002695
1992,Ted Power,Indians,1010504
1970,Joe Moeller,Dodgers,1009023
2014,Rob Wooten,Brewers,8532
2014,Joel Peralta,Rays,2332
2016,Lucas Harrell,- - -,7541
2008,Roy Corcoran,Mariners,1780
2016,Clayton Richard,- - -,3551
1941,Lefty Gomez,Yankees,1004821
2005,Kerry Wood,Cubs,304
2016,Ryan Madson,Athletics,1852
2013,Ian Kennedy,- - -,6986
1999,Jason Christiansen,Pirates,1111
1927,Bob Shawkey,Yankees,1011825
1936,Italo Chelini,White Sox,1002175
1914,Rudy Sommers,Tip-Tops,1012277
1956,Sandy Consuegra,- - -,1002547
2016,Matt Barnes,Red Sox,12863
2011,Brett Cecil,Blue Jays,2660
2008,Ryan Speier,Rockies,3808
1998,Mike Grace,Phillies,1004915
1930,Hal Carlson,Cubs,1001961
2015,Enrique Burgos,Diamondbacks,3895
2014,Kyle Lobstein,Tigers,9178
2016,Francisco Liriano,- - -,3201
2013,Joel Peralta,Rays,2332
2006,Doug Brocail,Padres,551
2020,John Gant,Cardinals,13684
1944,Cliff Melton,Giants,1008755
1931,Ed Baecht,Cubs,1000407
1997,Rick Krivda,Orioles,1007168
2012,Andrew Cashner,Padres,8782
1981,Kevin Saucier,Tigers,1011457
1903,Pat Carney,Beaneaters,1001975
2001,Tom Davey,Padres,1026
1922,Eric Erickson,Senators,1003806
2015,Joakim Soria,- - -,6941
1950,Jesse Flores,Indians,1004170
1939,Van Mungo,Dodgers,1009321
2019,Matt Moore,Tigers,1890
2020,Anthony Misiewicz,Mariners,18152
1966,Whitey Ford,Yankees,1004227
2008,Dustin Moseley,Angels,7060
1929,Dutch Henry,- - -,1005669
1981,Rick Wise,Padres,1014155
1926,Carmen Hill,Pirates,1005809
1998,Javier Vazquez,Expos,801
1918,Carmen Hill,Pirates,1005809
1988,Gene Nelson,Athletics,1009501
2006,Manny Corpas,Rockies,2807
1904,Bill Reidy,Superbas,1010796
1946,Fred Sanford,Browns,1011430
2015,Nick Martinez,Rangers,12730
1912,Pol Perritt,Cardinals,1010206
1982,Terry Leach,Mets,1007427
2011,Zach McAllister,Indians,2895
1942,Russ Christopher,Athletics,1002222
2013,Ryan Webb,Marlins,7474
1997,Matt Beech,Phillies,1000770
1918,Byron Houck,Browns,1006048
1936,Tommy Thomas,Browns,1012996
2012,Franklin Morales,Red Sox,5088
2002,Blaine Neal,Marlins,1468
1947,Ralph Hamner,Cubs,1005287
1953,Bob Kuzava,Yankees,1007226
2001,Rich Garces,Red Sox,189
1942,Les Webber,Dodgers,1013709
1908,Barney Pelty,Browns,1010136
2000,Will Cunnane,Padres,274
2003,Kiko Calero,Cardinals,1676
1952,Bubba Church,- - -,1002225
1977,Dick Tidrow,Yankees,1013056
1969,John Hiller,Tigers,1005817
1961,Warren Hacker,White Sox,1005182
2014,Santiago Casilla,Giants,2873
2013,Jordan Lyles,Astros,7593
2019,Rogelio Armenteros,Astros,17679
1926,Vic Keen,Cardinals,1006756
2014,Oliver Perez,Diamondbacks,1514
1966,Fred Gladding,Tigers,1004751
1999,Paul Byrd,Phillies,594
1963,Billy Pierce,Giants,1010326
1947,Butch Wensloff,Yankees,1013778
1965,Ron Kline,Senators,1007004
1984,Dave Rucker,Cardinals,1011279
1887,Charlie Parsons,Metropolitans,1010028
1986,Joe Niekro,Yankees,1009582
1991,Roger Mason,Pirates,1008222
1960,Don Larsen,Athletics,1007359
1981,Jamie Easterly,Brewers,1003639
1948,Al Gerheauser,Browns,1004632
1929,Red Peery,Braves,1010126
1948,Jim Hearn,Cardinals,1005556
1988,Ron Guidry,Yankees,1005124
1905,Fred Mitchell,Superbas,1009001
2010,Nate Robertson,- - -,1620
1964,Bob Shaw,Giants,1011819
2006,Edward Mujica,Indians,3970
2007,Edinson Volquez,Rangers,3990
1906,Glenn Liebhardt,Naps,1007601
1998,Matt Beech,Phillies,1000770
1941,Dick Errickson,Braves,1003815
2007,Chad Cordero,Nationals,1816
1912,Jim Scott,White Sox,1011684
1981,John Martin,Cardinals,1008179
1998,Yorkis Perez,Phillies,1513
2015,Zach Davies,Brewers,13183
2014,Jake Petricka,White Sox,10534
1911,Louis Drucke,Giants,1003512
1994,Steve Bedrosian,Braves,1000766
2008,Clay Buchholz,Red Sox,3543
2000,Brett Tomko,Mariners,1056
1982,Tom Hume,Reds,1006179
2005,Denny Bautista,Royals,1947
2008,Justin Miller,Marlins,1313
1993,Tony Fossas,Red Sox,1004242
1996,Paul Shuey,Indians,406
1969,Jerry Cram,Royals,1002728
1918,Earl Yingling,Senators,1014346
1938,Paul Dean,Cardinals,1003110
1961,Galen Cisco,Red Sox,1002246
1992,Bob Scanlan,Cubs,1011489
2018,Adam Wainwright,Cardinals,2233
1969,George Culver,Reds,1002870
1929,Carroll Yerkes,Athletics,1014339
2009,Bud Norris,Astros,9492
1986,Dan Petry,Tigers,1010246
2009,Kyle Davies,Royals,3642
1982,Ed Farmer,Phillies,1003935
1997,Brian Anderson,Indians,44
1907,Rube Vickers,Athletics,1013422
1990,Atlee Hammaker,- - -,1005281
1971,J.R. Richard,Astros,1010913
1950,Ken Johnson,- - -,1006476
1952,Bill Henry,Red Sox,1005665
2004,Rheal Cormier,Phillies,952
1965,Marshall Bridges,Senators,1001419
1955,Gerry Staley,- - -,1012388
1970,Wally Bunker,Royals,1001652
1975,Mike Marshall,Dodgers,1008144
2016,Charlie Morton,Phillies,4676
2012,Martin Perez,Rangers,6902
1897,Duke Esper,Browns,1003827
1927,Win Ballou,Browns,1000498
1992,Dave Stieb,Blue Jays,1012532
1969,Dan Osinski,White Sox,1009875
1982,Joe Price,Reds,1010530
1996,Rod Beck,Giants,1730
2013,Will Smith,Royals,8048
1905,Sandy McDougal,Cardinals,1008472
1936,Les Tietje,- - -,1013063
1885,John Connor,- - -,1002530
2008,Josh Geer,Padres,4781
1971,Burt Hooton,Cubs,1006005
1950,Fred Sanford,Yankees,1011430
1881,Bobby Mathews,- - -,1008234
1943,Johnny Lanning,Pirates,1007328
1991,Anthony Young,Mets,1014362
1965,Phil Regan,Tigers,1010785
1966,Dennis Higgins,White Sox,1005788
1989,Mauro Gozzo,Blue Jays,1004906
1991,Roy Smith,Orioles,1012202
1888,Dick Conway,Beaneaters,1002552
1891,Will Calihan,Athletics,1001837
2017,Shelby Miller,Diamondbacks,10197
1973,Doug Rau,Dodgers,1010717
1993,Rich DeLucia,Mariners,1003185
2000,Ariel Prieto,Athletics,1010536
2004,John Parrish,Orioles,160
2019,Joe Smith,Astros,3281
2009,Eric O'Flaherty,Braves,5746
1973,Clay Kirby,Padres,1006960
1999,Russ Springer,Braves,1652
1989,Atlee Hammaker,Giants,1005281
2015,Tim Cooney,Cardinals,13762
1952,Hal Brown,White Sox,1001520
1938,Joe Cascarella,Reds,1002031
1998,Darren Holmes,Yankees,95
1964,Barry Latman,Angels,1007377
2006,Taylor Tankersley,Marlins,8249
2016,Evan Scribner,Mariners,7525
1998,Travis Miller,Twins,742
1986,John Cerutti,Blue Jays,1002106
1957,Dick Hyde,Senators,1006248
1972,Jim McGlothlin,Reds,1008532
2017,Wandy Peralta,Reds,14295
1971,Ed Acosta,Padres,1000034
2012,Al Alburquerque,Tigers,6324
1995,Tim Scott,Expos,1011694
2019,Nick Wittgren,Indians,15594
2002,Ron Villone,Pirates,1010
2006,Michael Wuertz,Cubs,1856
2007,Tyler Walker,Giants,901
1903,Gus Thompson,Pirates,1013010
2008,Justin Hampson,Padres,2209
2011,Blake Wood,Royals,1345
1951,Bill Werle,Pirates,1013786
2019,Keone Kela,Pirates,14696
2004,Cliff Politte,White Sox,967
1895,Frank Killen,Pirates,1006904
2018,Jordan Hicks,Cardinals,19618
1999,Masao Kida,Tigers,1800
1950,Dan Bankhead,Dodgers,1000509
1875,Pidgey Morgan,Red Stockings,1009181
2012,Boone Logan,Yankees,5525
2003,Mickey Callaway,- - -,7
2001,Masato Yoshii,Expos,807
1993,Roger Mason,- - -,1008222
1990,Paul Abbott,Twins,1061
2020,Kyle Zimmer,Royals,14169
1967,Lindy McDaniel,Giants,1008441
1974,Steve Arlin,- - -,1000303
2004,Antonio Alfonseca,Braves,260
1981,Aurelio Lopez,Tigers,1007753
1977,Preston Hanna,Braves,1005318
1960,Chet Nichols,Red Sox,1009557
2000,Donne Wall,Padres,39
2002,Justin Speier,Rockies,451
1956,Taylor Phillips,Braves,1010298
1914,Paul Carter,Naps,1002021
1978,Darrell Jackson,Twins,1006294
2008,Jeremy Affeldt,Reds,583
2001,Jeremy Fikac,Padres,1031
2010,Brandon Beachy,Braves,8851
2005,Horacio Ramirez,Braves,110
2017,Chad Bettis,Rockies,10587
1912,Rube Peters,White Sox,1010238
1961,Al McBean,Pirates,1008337
1908,Frank Owen,White Sox,1009916
1979,Dave Roberts,- - -,1011031
2017,Mark Melancon,Giants,4264
1919,Lefty Leifield,Browns,1007494
2003,Mark Corey,Pirates,870
2015,Neftali Feliz,- - -,18
1965,Hal Reniff,Yankees,1010833
2005,Wandy Rodriguez,Astros,2586
2016,Gabriel Ynoa,Mets,12938
2007,Ehren Wassermann,White Sox,6380
2005,Brendan Donnelly,Angels,1441
1923,Dennis Burns,Athletics,1001704
2016,Luke Weaver,Cardinals,16918
2015,James Paxton,Mariners,11828
2006,Brian Stokes,Devil Rays,8653
1970,Dick Ellsworth,- - -,1003754
1982,Tom Gorman,- - -,1004887
1961,Arnold Earley,Red Sox,1003626
2008,J.A. Happ,Phillies,7410
2003,Chris Capuano,Diamondbacks,1701
1974,Lew Krausse,Braves,1007146
1976,Jim Willoughby,Red Sox,1014047
1998,Russ Ortiz,Giants,1124
1994,Mark Gardner,Marlins,1004529
1995,Doug Bochtler,Padres,1001107
2018,Alec Mills,Cubs,13834
1990,Les Lancaster,Cubs,1007287
1994,Ismael Valdez,Dodgers,1283
2010,Craig Kimbrel,Braves,6655
2000,Hector Carrasco,- - -,1240
1999,Mike Morgan,Rangers,67
1888,Bill Blair,Athletics,1001027
1965,Bob Miller,Dodgers,1008877
2020,Cal Quantrill,- - -,19312
1999,Darren Holmes,Diamondbacks,95
2020,Josh Tomlin,Braves,9388
1902,George Prentiss,- - -,1010520
1923,Ralph Head,Phillies,1005543
1930,Bruce Cunningham,Braves,1002879
2005,Justin Speier,Blue Jays,451
1968,Lee Stange,Red Sox,1012400
2000,Dave Coggin,Phillies,951
1893,Otis Stocksdale,Senators,1012552
1904,Doc Reisling,Superbas,1010819
1967,Bucky Brandon,Red Sox,1001346
1920,George Uhle,Indians,1013266
1912,Ray Keating,Highlanders,1006735
1898,Charlie Hickman,Beaneaters,1005773
1988,Mike Bielecki,Cubs,1000951
2000,Lorenzo Barcelo,White Sox,1435
2009,LaTroy Hawkins,Astros,729
2007,Joel Pineiro,- - -,1094
2016,Severino Gonzalez,Phillies,14697
2011,Tommy Milone,Nationals,7608
2018,Jordan Montgomery,Yankees,16511
1963,Ted Bowsfield,Athletics,1001273
2010,Carlos Carrasco,Indians,6632
2016,Joe Kelly,Red Sox,9761
1930,Chet Nichols,Phillies,1009556
1943,Charlie Bowles,Athletics,1001258
1892,Hank Gastright,Senators,1004569
2015,Adam Ottavino,Rockies,1247
2001,Josh Fogg,White Sox,989
1967,Juan Pizarro,Pirates,1010382
1980,John D'Acquisto,- - -,1002919
2009,Edgar Gonzalez,Athletics,1727
1950,Al Papai,- - -,1009981
1975,Alan Foster,Padres,1004246
1995,John Hudek,Astros,1006128
2011,Rich Thompson,Angels,6422
1964,Bill Stafford,Yankees,1012375
2009,Luke French,- - -,7529
1909,Bob Rhoads,Naps,1010881
1954,Morrie Martin,- - -,1008184
1889,Pete Wood,Quakers,1014230
1996,Mike Mimbs,Phillies,1008970
1934,George Hockette,Red Sox,1005876
2002,Brandon Villafuerte,Padres,1059
1948,Ken Johnson,Cardinals,1006476
2011,Huston Street,Rockies,8258
1913,Rube Foster,Red Sox,1004259
2017,Nathan Karns,Royals,12638
2001,Mike Morgan,Diamondbacks,67
2011,Rich Harden,Athletics,1772
2020,A.J. Minter,Braves,18655
1987,Neil Allen,- - -,1000154
1915,Fin Wilson,Tip-Tops,1014075
2006,Casey Fossum,Devil Rays,188
1985,Steve Rogers,Expos,1011138
1926,Hooks Dauss,Tigers,1003011
1902,Ed Murphy,Cardinals,1009360
1932,Roy Parmelee,Giants,1010016
1963,Pete Richert,Dodgers,1010922
2013,Tyler Clippard,Nationals,5640
1922,Johnny Cooney,Braves,1002588
2020,Adrian Houser,Brewers,12718
1981,Greg Harris,Mets,1005415
2014,J.P. Howell,Dodgers,8245
2003,Bronson Arroyo,Red Sox,978
1991,Dennis Lamp,Red Sox,1007284
1952,Cloyd Boyer,Cardinals,1001281
1940,Porter Vaughan,Athletics,1013385
2012,Chris Archer,Rays,6345
1884,Fred Tenney,- - -,1012915
1953,Bobo Holloman,Browns,1005963
1997,Jason Christiansen,Pirates,1111
1918,Roy Walker,Cubs,1013531
2018,Taylor Cole,Angels,11964
2008,Yovani Gallardo,Brewers,8173
1896,Effie Norton,Senators,1009645
1986,Bill Campbell,Tigers,1001874
1966,Pedro Ramos,Yankees,1010681
1946,Lou Knerr,Athletics,1007033
1978,Frank LaCorte,Braves,1007239
1968,Tom Hall,Twins,1005262
2016,Jhan Marinez,- - -,5830
1962,Jim Constable,Braves,1002546
1962,Bob Moorhead,Mets,1009133
1973,Danny Fife,Twins,1004032
2013,Stephen Pryor,Mariners,10663
1981,Jim Slaton,Brewers,1012054
2009,Russ Springer,- - -,1652
1963,Dale Willis,Athletics,1013985
2006,Juan Mateo,Cubs,3753
2020,Tanner Houck,Red Sox,19879
1937,Les Tietje,Browns,1013063
1989,Jim Clancy,Astros,1002255
2009,Edward Mujica,Padres,3970
1980,Tom Seaver,Reds,1011708
2014,Mike Minor,Braves,10021
2015,Jason Vargas,Royals,8044
2016,Clay Buchholz,Red Sox,3543
1926,Elam Vangilder,Browns,1013355
1920,Bob Clark,Indians,1002268
1927,Foster Edwards,Braves,1003686
1951,Jim Konstanty,Phillies,1007098
1914,Eddie Matteson,Phillies,1008251
1976,Joe Niekro,Astros,1009582
1995,Tavo Alvarez,Expos,1000200
2019,Alec Mills,Cubs,13834
1981,Jim Clancy,Blue Jays,1002255
2010,Manny Corpas,Rockies,2807
2006,Shawn Camp,Devil Rays,1855
1973,Ray Lamb,Indians,1007278
1933,Dutch Leonard,Dodgers,1007533
1986,Ricky Wright,Rangers,1014292
2005,Geoff Geary,Phillies,1813
2003,Ryan Vogelsong,Pirates,1011
1986,Mark Thurmond,- - -,1013052
2010,Randy Choate,Rays,813
1916,Rube Foster,Red Sox,1004259
1997,Doug Brocail,Tigers,551
1996,Danny Graves,Indians,326
1969,Joe Hoerner,Cardinals,1005895
2012,Luis Perez,Blue Jays,6389
1997,Ed Vosberg,- - -,1426
2015,Al Alburquerque,Tigers,6324
2019,CC Sabathia,Yankees,404
1920,Joe DeBerry,Browns,1003119
1923,Les Howe,Red Sox,1006096
2015,Jonathan Papelbon,- - -,5975
2019,Matt Wisler,- - -,12804
1940,Ike Pearson,Phillies,1010110
1983,Doug Corbett,Angels,1002608
2002,Kevin Olsen,Marlins,533
2003,Mike Maroth,Tigers,1508
1998,Scott Aldred,Devil Rays,1000115
2018,Michael Lorenzen,Reds,14843
1971,Scipio Spinks,Astros,1012345
1986,Doug Jones,Indians,1006552
2014,David Phelps,Yankees,6316
2016,Andrew Chafin,Diamondbacks,12988
1969,Mike Torrez,Cardinals,1013134
1985,Ray Searage,Brewers,1011703
1998,Rich Loiselle,Pirates,1007711
1983,Dave Geisel,Blue Jays,1004603
1997,Felix Heredia,Marlins,1304
2018,Hector Velazquez,Red Sox,19341
2001,Jesus Sanchez,Marlins,1476
1992,Danny Cox,- - -,1002695
2004,Kazuhito Tadano,Indians,1917
2020,Tyler Chatwood,Cubs,4338
1923,Eddie Dyer,Cardinals,1003614
1991,Lee Guetterman,Yankees,1005122
2018,Marco Estrada,Blue Jays,1118
1971,Dave Giusti,Pirates,1004748
2015,Colin Rea,Padres,12317
1950,Johnny Klippstein,Cubs,1007013
2001,Nelson Cruz,Astros,554
1936,Ben Cantwell,Bees,1001921
1893,Kirtley Baker,Orioles,1000462
2014,Dillon Gee,Mets,7396
1952,Don Johnson,Senators,1006448
1892,Crazy Schmit,Orioles,1011578
1898,Jack Cronin,Pirates,1002794
1888,Ed Keas,Blues,1006732
1999,Jose Cabrera,Astros,679
1999,Pete Munro,Blue Jays,1546
1951,Art Schallock,Yankees,1011514
2007,Jeremy Affeldt,Rockies,583
1909,Jack Ryan,Red Sox,1011338
2007,Hong-Chih Kuo,Dodgers,7016
1991,Ted Power,Reds,1010504
1992,Mike Jackson,Giants,732
2014,Jeremy Affeldt,Giants,583
1975,Steve Mingori,Royals,1008978
1945,Jim Wilson,Red Sox,1014089
2019,Anthony Kay,Blue Jays,20387
2015,Dan Jennings,White Sox,8073
1965,Warren Spahn,- - -,1012299
2003,Chad Fox,- - -,684
1958,Orlando Pena,Redlegs,1010150
1998,Jeff Montgomery,Royals,1009071
2005,Jim Mecir,Marlins,930
1941,Junior Thompson,Reds,1013017
1986,Lee Guetterman,Mariners,1005122
1889,Tom Sullivan,Cowboys,1012714
1980,Bill Travers,Brewers,1013161
1911,Earl Hamilton,Browns,1005273
1997,Derek Lowe,- - -,199
1992,Willie Banks,Twins,1434
1955,Ray Herbert,Athletics,1005684
2002,Mark Wohlers,Indians,414
2019,Javy Guerra,- - -,7407
2013,Vin Mazzaro,Pirates,5231
1998,Ricky Bones,Royals,1001161
1996,Larry Thomas,White Sox,1012983
2002,Rafael Soriano,Mariners,1100
2006,Edgar Gonzalez,Diamondbacks,1727
1961,Howie Nunn,Reds,1009662
1910,Bill Powell,Pirates,1010481
1958,Ken Lehman,Orioles,1007486
2007,Matt Herges,Rockies,780
1889,Bill Daley,Beaneaters,1002941
1965,Frank Kreutzer,Senators,1007163
1945,Sam Zoldak,Browns,1014458
2016,Grant Dayton,Dodgers,11203
2000,Sterling Hitchcock,Padres,824
1926,Curly Ogden,Senators,1009742
2018,Bartolo Colon,Rangers,375
2004,Bob Howry,Indians,237
1916,Jim Shaw,Senators,1011824
1966,Arnold Umbach,Braves,1013275
1999,Manny Aybar,Cardinals,1107
1956,Charlie Beamon,Orioles,1000709
2019,Nick Ramirez,Tigers,12575
2010,Ivan Nova,Yankees,1994
2015,Jason Motte,Cubs,5861
2018,Luis Perdomo,Padres,14682
1949,Erv Palica,Dodgers,1009967
1952,Ralph Brickner,Red Sox,1001417
2018,Touki Toussaint,Braves,16929
1982,Dave Rozema,Tigers,1011273
1984,George Riley,Giants,1010966
2000,Bobby Chouinard,Rockies,1002204
1952,Al Corwin,Giants,1002647
1994,Jeff Nelson,Mariners,1092
1979,Vern Ruhle,Astros,1011297
1883,Billy Taylor,Alleghenys,1012856
1875,Pud Galvin,Brown Stockings,1004469
1934,Don Brennan,Reds,1001389
1968,Roy Face,- - -,1003891
1997,Mark Brandenburg,Red Sox,1001350
1988,Randy Johnson,Expos,60
2005,Jack Taschner,Giants,2766
2005,Joe Mays,Twins,740
1973,Dick Baney,Reds,1000507
1995,Jeff Suppan,Red Sox,633
1996,Yorkis Perez,Marlins,1513
2012,Travis Wood,Cubs,9884
2013,Tyler Lyons,Cardinals,11334
2018,Jonathan Loaisiga,Yankees,19753
1944,Joe Heving,Indians,1005758
1993,Mike Magnante,Royals,929
1998,Mike Thurman,Expos,852
1949,Fred Sanford,Yankees,1011430
1977,Bruce Taylor,Tigers,1012861
1980,Ed Lynch,Mets,1007862
1929,Marv Gudat,Reds,1005116
1994,Rusty Meacham,Royals,1008702
2020,Trevor May,Twins,6398
1969,Bob Humphreys,Senators,1006184
2020,Dustin May,Dodgers,19716
2015,Brandon Morrow,Padres,9346
2003,Gabe White,- - -,360
2016,Tyler Wilson,Orioles,12691
2006,Brandon Backe,Astros,1529
1975,Rich Hinton,White Sox,1005854
2006,Jon Huber,Mariners,3109
1933,Reggie Grabowski,Phillies,1004911
2020,J.B. Wendelken,Athletics,14506
2007,Dennis Sarfate,Astros,2174
2012,Eric O'Flaherty,Braves,5746
2009,Matt Harrison,Rangers,5551
1910,Elmer Koestner,Naps,1007079
2019,Amir Garrett,Reds,14375
1920,Mule Watson,- - -,1013682
1908,Earl Moore,Phillies,1009103
2000,Brian Rose,- - -,1011201
1898,Bill Hart,Pirates,1005438
1951,Niles Jordan,Phillies,1006613
2006,Jorge Julio,- - -,148
1926,Dixie Davis,Browns,1003045
2002,Dave Coggin,Phillies,951
1951,Al Sima,Senators,1011976
2016,Chase Anderson,Brewers,6895
1946,Russ Bauers,Cubs,1000681
1966,Dooley Womack,Yankees,1014203
1998,Livan Hernandez,Marlins,1116
1946,Ray Scarborough,Senators,1011496
1911,Bert Maxwell,Giants,1008286
1997,Curtis Leskanic,Rockies,694
1992,Sergio Valdez,Expos,1013320
2012,John Lannan,Nationals,7080
2013,Jarred Cosart,Astros,10304
1993,Bob Walk,Pirates,1013507
1993,Steve Foster,Reds,1004260
2015,Tyler Wilson,Orioles,12691
1921,Doug McWeeny,White Sox,1008698
1981,Jeff Reardon,- - -,1010741
2019,Craig Stammen,Padres,7274
1945,Spud Chandler,Yankees,1002133
2007,Mike Pelfrey,Mets,5203
1961,Dave Wickersham,Athletics,1013917
2006,Bryan Corey,- - -,1439
1991,Xavier Hernandez,Astros,1005715
2015,Blake Treinen,Nationals,12572
2009,Craig Breslow,- - -,4363
2015,LaTroy Hawkins,- - -,729
2018,Darren O'Day,Orioles,3321
1935,Whitey Hilcher,Reds,1005801
1980,Bill Bonham,Reds,1001165
1975,Eric Raich,Indians,1010653
1919,Rasty Wright,Browns,1014291
2004,Allan Simpson,Rockies,1864
2007,Jared Burton,Reds,8346
1978,Dave Ford,Orioles,1004217
2006,Bill Bray,- - -,8538
1909,Pete Wilson,Highlanders,1014101
1971,Vicente Romo,White Sox,1011177
1939,Buck Ross,Athletics,1011224
1922,Syl Johnson,Tigers,1006505
2013,Aaron Harang,- - -,1451
2007,Kason Gabbard,- - -,3418
1985,John Stuper,Reds,1012652
1998,Graeme Lloyd,Yankees,783
2000,Felix Heredia,Cubs,1304
1975,Tom Hausman,Brewers,1005505
1963,Ryne Duren,Phillies,1003586
1989,Neal Heaton,Pirates,1005568
1998,Matt Anderson,Tigers,459
1997,Mike Cather,Braves,1002082
1991,Hector Fajardo,- - -,1003908
1995,Aaron Sele,Red Sox,34
2012,Chris Seddon,Indians,3833
2018,Francisco Liriano,Tigers,3201
1969,Hank Aguirre,Cubs,1000087
1991,Jeff Robinson,Orioles,1011073
1939,Johnny Murphy,Yankees,1009368
2012,Shawn Camp,Cubs,1855
1914,Weldon Wyckoff,Athletics,1014305
1999,Mike Mohler,Cardinals,1009033
2012,Alex Burnett,Twins,4065
1985,Ted Power,Reds,1010504
1891,Jim Hughey,Brewers,1006155
2001,Carl Pavano,Expos,790
1978,Bob Sykes,Tigers,1012798
1981,Tom Burgmeier,Red Sox,1001668
2011,Jordan Lyles,Astros,7593
2000,Aaron Fultz,Giants,1113
1951,Morrie Martin,Athletics,1008184
1939,Manny Salvo,Giants,1011391
1971,Lew Krausse,Brewers,1007146
1875,John McMullin,Whites,1008649
1939,Jack Russell,Cubs,1011313
1993,Jeff Nelson,Mariners,1092
1945,Earl Caldwell,White Sox,1001829
2014,Todd Redmond,Blue Jays,9943
1946,Doyle Lade,Cubs,1007246
1984,Dan Spillner,- - -,1012342
2000,Kerry Ligtenberg,Braves,100
1939,Oad Swigart,Pirates,1012790
1994,Frank Castillo,Cubs,180
2015,Marcus Stroman,Blue Jays,13431
1977,Roger Moret,Rangers,1009168
2020,Jacob Barnes,Angels,12323
1944,Cookie Cuccurullo,Pirates,1002849
1999,Nelson Cruz,Tigers,554
1996,Jim Bullinger,Cubs,1001646
2011,Eduardo Sanchez,Cardinals,2966
1958,John Briggs,Cubs,1001428
1968,Gary Ross,Cubs,1011230
1967,Ray Culp,Cubs,1002869
2014,Zeke Spruill,Diamondbacks,3873
2009,Brad Kilby,Athletics,9823
1942,Jake Wade,White Sox,1013472
2020,Bryan Garcia,Tigers,19457
1998,Russ Springer,- - -,1652
1992,Joe Boever,Astros,1001118
2013,T.J. McFarland,Orioles,3237
2015,Vance Worley,Pirates,6435
2011,Sam LeCure,Reds,4664
1998,Jeff Nelson,Yankees,1092
1991,Steve Crawford,Royals,1002749
2007,Chuck James,Braves,4886
2006,John Thomson,Braves,453
2001,Aaron Myette,Rangers,1263
2009,Manny Corpas,Rockies,2807
1973,Rich Hand,- - -,1005301
1891,Bill Daley,Reds,1002941
2015,Manny Parra,Reds,4279
1936,Slick Castleman,Giants,1002075
1972,Rich Hand,Rangers,1005301
2004,Gavin Floyd,Phillies,3886
2010,D.J. Carrasco,- - -,1666
1956,Bob Keegan,White Sox,1006744
2011,Javier Lopez,Giants,1663
1984,Jeff Calhoun,Astros,1001835
2013,Jeff Francis,Rockies,4684
1980,Jeff Jones,Athletics,1006566
2007,Kenny Rogers,Tigers,1277
1931,Van Mungo,Robins,1009321
1933,Ray Prim,Senators,1010537
2002,Mike Thurman,Yankees,852
2018,Yovani Gallardo,- - -,8173
2000,John Rocker,Braves,1273
1877,Amos Booth,Reds,1001191
1990,Scott Anderson,Expos,1000242
1990,Derek Lilliquist,- - -,1007607
2015,Ariel Pena,Brewers,10240
1986,Vida Blue,Giants,1001094
1960,Moe Drabowsky,Cubs,1003474
1977,Jamie Easterly,Braves,1003639
2014,Kevin Correia,- - -,1767
1998,Carlos Reyes,- - -,1721
2005,Kip Wells,Pirates,1012
1968,Jack Hamilton,Angels,1005274
1938,Jumbo Brown,Giants,1001533
1976,Jim Hughes,Twins,1006157
2012,Clayton Richard,Padres,3551
1924,Ted Wingfield,- - -,1014130
1941,George Caster,Browns,1002055
2008,Kevin Correia,Giants,1767
1927,Jing Johnson,Athletics,1006467
2019,Robert Gsellman,Mets,13696
1988,Eric King,Tigers,1006929
1997,Tony Castillo,White Sox,1002069
1970,Fred Cambria,Pirates,1001857
1996,David Weathers,- - -,902
1953,Ray Herbert,Tigers,1005684
2019,Joe Kelly,Dodgers,9761
2001,Hector Mercado,Reds,960
1995,Joe Hudson,Red Sox,1006138
1918,Dolf Luque,Reds,1007843
1982,Rick Waits,Indians,1013494
1906,Charlie Rhodes,Cardinals,1010883
1953,Bob Kelly,- - -,1006795
2020,Martin Perez,Red Sox,6902
1997,Terry Clark,- - -,1002312
1990,Rick Reed,Pirates,750
1959,John Buzhardt,Cubs,1001788
1962,Norm Bass,Athletics,1000647
2006,Matt Smith,- - -,3053
1953,Hal White,- - -,1013877
2019,Ranger Suarez,Phillies,17277
2004,Gustavo Chacin,Blue Jays,2060
2002,Sun-Woo Kim,- - -,197
1971,Moe Drabowsky,Cardinals,1003474
1920,Jimmy Zinn,Pirates,1014452
2008,Brad Thompson,Cardinals,4911
1987,Dennis Powell,Mariners,1010484
1946,Ed Head,Dodgers,1005542
1955,Hal Jeffcoat,Cubs,1006377
2014,Jaime Garcia,Cardinals,8137
1951,Jack Kramer,- - -,1007137
2019,Aaron Brooks,- - -,12272
1985,Larry Andersen,Phillies,1000236
2015,Ian Kennedy,Padres,6986
2013,James Paxton,Mariners,11828
1996,Danny Jackson,Cardinals,1006295
1937,Bill Trotter,Browns,1013193
1926,Allen Sothoron,Cardinals,1012288
2013,Jose Mijares,Giants,4140
2005,Roberto Novoa,Cubs,2217
2020,Stefan Crichton,Diamondbacks,16058
2017,Zach McAllister,Indians,2895
1937,Howie Krist,Cardinals,1007167
1969,Tommie Sisk,Padres,1012018
1945,Slim Emmerich,Giants,1003771
